"","airport","icao","iata","latitude","longitude"
"1","Allah Valley","RPMA","AAV",6.36681666666667,124.751294444444
"2","Antique","RPVS","",10.7660444444444,121.933438888889
"3","Awang","RPMC","CBO",7.2,124.166666666667
"4","Bacolod","RPVB","BCD",10.6425111111111,122.929616666667
"5","Baganga","RPUZ","BNQ",7.58333333333333,126.566666666667
"6","Baler","RPUR","BQA",15.7298361111111,121.500133333333
"7","Basco","RPUO","BSO",20.4513222222222,121.979883333333
"8","Bislig","RPMF","BPH",8.19595,126.321597222222
"9","Borongan","RPVW","",11.6743277777778,125.478794444444
"10","Butuan","RPME","BXU",8.95132222222222,125.477972222222
"11","Cagayan de Oro","RPML","CGY",8.41555555555556,124.611111111111
"12","Cagayan de Sulu","RPMU","CDY",7.01666666666667,118.5
"13","Calbayog","RPVC","CYP",12.0727055555556,124.545091666667
"14","Caticlan","RPVE","",11.9245027777778,121.95405
"15","Cauayan","RPUY","CYZ",16.9298611111111,121.753036111111
"16","Clark","","RZP",11.0516666666667,119.518333333333
"17","Coron Airport","RPVV","XCN",12,120.2
"18","Cubi Point Naval Air Station","","NCP",16,121
"19","Culion","","CUJ",11.8833333333333,120.016666666667
"20","Cuyo","RPLO","CYU",10.85,121
"21","Daet","RPUD","DTE",14.1291666666667,122.980180555556
"22","Daniel Z. Romualdez","RPVA","TAC",11.2333333333333,125.016666666667
"23","Clark","RPLC","CRK",15.1833333333333,120.533333333333
"24","Dipolog","RPMG","DPL",8.60126111111111,123.334480555556
"25","Dumaguete","RPVD","DGT",9.33371388888889,123.300472222222
"26","El Nido","","ENI",11.2055555555556,119.412777777778
"27","Evelio Javier","","EUQ",11.1666666666667,122.083333333333
"28","Fernando Air Base","RPUL","",13.9550166666667,121.124925
"29","Floridablanca Ab","RPUF","",14.9865277777778,120.4925
"30","Fort Magsaysay","RPLV","",15.4347222222222,121.091111111111
"31","Davao","RPMD","DVO",7.12527777777778,125.645833333333
"32","General Santos","RPMR","",6.05800277777778,125.096033333333
"33","General Santos","RPMB","GES",6.10638888888889,125.235277777778
"34","Guiuan","RPVG","",11.0355444444444,125.741594444444
"35","Iloilo","RPVI","ILO",10.7130555555556,122.545277777778
"36","Imelda Romualdez Marcos","RPMQ","MXI",6.94944444444444,126.273055555556
"37","Ipil","RPMV","IPE",7.78333333333333,122.583333333333
"38","Jolo","RPMJ","JOL",6.05367222222222,121.011044444444
"39","Kalibo","RPVK","KLO",11.6794305555556,122.376294444444
"40","Labo","RPMO","OZC",8.16666666666667,123.75
"41","Laoag","RPLI","LAO",18.1833333333333,120.533333333333
"42","Legaspi","RPLP","LGP",13.1570638888889,123.746247222222
"43","Lingayen","RPUG","",16.0347861111111,120.241105555556
"44","Loakan","RPUB","BAG",16.3666666666667,120.616666666667
"45","Lubang","RPLU","LBX",13.8554277777778,120.105341666667
"46","Maasin","RPSM","",10.1873333333333,124.782341666667
"47","Mactan-Cebu","RPVM","CEB",10.3072222222222,123.978888888889
"48","Malabang","","MLP",7.63333333333333,124.066666666667
"49","Malay","RPMY","MPH",11.9258333333333,121.952222222222
"50","Malita","","",6.40228055555556,125.619425
"51","Mambajao","RPMH","CGM",9.25,124.666666666667
"52","Mamburao","RPUM","MBO",13.2080916666667,120.60535
"53","Maramag","","XMA",7.81666666666667,124.95
"54","Maria Cristina","RPMI","IGN",8.25,124.25
"55","Marinduque","RPUW","MRQ",13.3609666666667,121.825583333333
"56","Masbate","RPVJ","MBT",12.3693666666667,123.629236111111
"57","Mcguire Fld","RPUH","SJI",12.3666666666667,121.033333333333
"58","Mrmp","","",16.8298027777778,121.499977777778
"59","Naga","RPUN","WNP",13.6833333333333,123.133333333333
"60","National","RPVF","CRM",12.5166666666667,124.633333333333
"61","Ninoy Aquino International Airport","RPLL","MNL",14.5086472222222,121.019580555556
"62","Nonoc","","",9.80926111111111,125.593252777778
"63","Ormoc","RPVO","OMC",11.0579972222222,124.565322222222
"64","Pagadian","RPMP","PAG",7.82719722222222,123.458294444444
"65","Pasar","","",10.9120583333333,124.437405555556
"66","Pinamalayan","RPLA","",12.9858277777778,121.426011111111
"67","Puerto Princesa","RPVP","PPS",9.74211944444444,118.758730555556
"68","Puerto Princesa","","USU",12.1213888888889,120.1
"69","Roxas","RPVR","",11.5976694444444,122.751669444444
"70","Roxas City","RPVL","RXS",11.5166666666667,122.75
"71","San Fernando","RPUS","FES",16.5955888888889,120.303219444444
"72","Sanga-Sanga","RPMN","SGS",5.04699444444444,119.743033333333
"73","Sangley","RPLS","NSP",14.4958333333333,120.918611111111
"74","Sangley","","SGL",14.4952777777778,120.904166666667
"75","Siargao","RPNS","",9.85909722222222,126.014016666667
"76","Siasi","","SSV",5.55,120.816666666667
"77","Sicogon Island","","ICO",11.45,123.266666666667
"78","Siocon","RPNO","XSO",7.7,122.133333333333
"79","Subic","RPLB","SFS",14.79445,120.271363888889
"80","Surigao","RPMS","SUG",9.75756666666667,125.479327777778
"81","Tablas Island","RPVU","TBH",12.3109861111111,122.084502777778
"82","Tagbilaran","RPVT","TAG",9.66408055555556,123.853247222222
"83","Tagbita","","TGB",8.67722222222222,117.338055555556
"84","Tandag","RPMW","TDG",9.07211111111111,126.171444444444
"85","Tawitawi","","TWT",7.1,124.65
"86","Tuguegarao","RPUT","TUG",17.6383111111111,121.730613888889
"87","Vigan","RPUQ","VGN",17.5553305555556,120.355797222222
"88","Virac","RPUV","VRC",13.5764388888889,124.205672222222
"89","Zamboanga","RPMZ","ZAM",6.93333333333333,122.066666666667
