province,foreign,ofw,domestic,total
Maria,990,,6896,7886
San Juan,29780,,16424,46204
Siquijor (Siquijor),9286,,20032,29318
Region VIII (EASTERN VISAYAS),56343,1704,1409849,1467896
Biliran,1479,,21818,23297
Almeria,227,,2834,3061
Caibiran,39,,825,864
Cabucgayan,142,,481,623
Culaba,,,,
Kawayan,,,,
Maripipi,,,,
Naval,1071,,17678,18749
Eastern Samar,2173,,76301,78474
Borongan City,1777,,56171,57948
Can-Avid,7,,517,524
Gen. McArthur,52,,855,907
Guivan,290,,10626,10916
Llorente,,,7208,7208
Quinapondan,,,,
Taft,47,,924,971
Leyte,14004,,382661,396665
Abuyog,,,,
Alburera,,,,
Bato,,,8322,8322
Baybay City,1173,,156191,157364
Hilongos,,,9129,9129
Inopacan,,,,
Isabel,,,5614,5614
Kanangga,,,,
Matatom,507,,50752,51259
McArthur,,,,
Ormoc City,12314,,66312,78626
Palo,,,84355,84355
San Isidro,10,,1986,1996
Tacloban City,24308,1704,506792,532804
Northern Samar,822,,82611,83433
Allen,187,,14043,14230
Biri,233,,4746,4979
Bobon,4,,910,914
Caput,68,,1108,1176
Catarrnan,197,,39561,39758
Gamay,,,411,411
Las Navas,,,481,481
Mondragon,27,,434,461
Navar,,,,
Palapag,,,,
San Antonio,106,,18566,18672
San Roque,,,983,983
Victoria,,,1368,1368
Samar,6967,,205222,212189
Calbayog City,6755,,109242,115997
